Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.26794693337968634,4.634698260093506,0.21762287852507664,0.11915527636511833,0.8647429139458601
Random Forest Regressor,0.12567061108355473,2.2006831596030683,0.13673615066618283,0.034489877389119114,0.9608494020883959
Support Vector Regressor,0.2883450699379617,4.841804683269164,0.2729302628465177,0.15763380773499733,0.82106466328422
Kernel Ridge Regressor,0.47230931511694024,8.019586030658667,0.3693848482065451,0.3595212552308056,0.5918955598068603
K-NN Regressor,0.3466780408819095,6.183043120746726,0.252609510929897,0.1839972290419607,0.7911386738259691
Gaussian Process Regressor,0.07009362881290303,1.2596712987569143,0.10883997422238291,0.016759256788890006,0.9809760146017176
Gradient Boosting Regressor,0.09378415554322712,1.686396184367563,0.10976605181791947,0.020844053962650398,0.9763392265408007
TPOT Regressor,0.036915576287540094,0.6983158431652636,0.11390905563810463,0.01433803272900601,0.9837244259269583
Ensemble Model (L1),0.07212557691014371,1.2875194377968417,0.10787043525611269,0.016838129646964257,0.9808864834178932
