Name,Predictions,Predictions StDev,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,"[4.3849616  4.37093802 4.29316784 4.30246304 5.8387106  5.91696665
 4.82111137 4.87341063 4.08215844 4.12433346 6.43137874 7.02840834
 6.15483576 6.14855745 5.51880173 5.52315203 6.69658207 6.40108727
 5.43181779 6.56271055 7.92265514 7.02788791 5.36599263 5.38040641
 5.30598293 5.29507291 6.10275606 5.74168816 5.16520381 6.16742364
 5.47659929 8.185883   7.97289762 6.67168727 5.81167721 4.71342463
 5.36792884 6.38984943 7.46143726 5.85245108 4.26472269 4.56678433
 6.85972562 7.1449616  7.1449616  5.64861642 6.26638098 6.26380893
 6.28311799 6.43693521 4.9135303  4.96687326 6.25942408 6.0340318
 5.14415239 5.13836702 6.35589775 6.31504442 6.38718524 6.26559329
 6.31253215 4.93120968 5.16273865 7.05594461 5.76420534 5.83200494
 5.90384677 6.54709255 6.56474115 4.58982258 5.933295   4.47908248
 4.59111458 5.17917058 4.88524206 6.04929278 6.04929278 4.87951421
 5.01405887 6.54192955 6.87129715 3.62299769 6.04703094 5.08553778
 3.9624207  3.84593015 6.93841867 5.6001901  5.52048897 6.10567348
 6.26774704 6.28175356 5.44823944 5.61215751 5.55754082 5.69036873
 6.07059113 6.09146671 5.27335679 5.21475182 5.65780991 5.69027551
 5.41933361 5.50024185 6.3559989  4.51217432 4.64893846 5.87536297
 5.98311747 4.86186687 4.92520015 6.01624755 6.08941989 7.97747205
 7.97747205 4.38253631 4.38424932 6.94715587 4.96197023 5.00182558
 6.33786372 6.52219673 5.87748254 6.91148421 5.7427228  7.32827578
 7.84428899 7.96394179 5.20293958 7.32662618 6.19889723 6.31024159
 5.99658609 5.98529474 7.09156559]",,0.4466464863820655,7.904491236435321,0.4992912671703794,0.4487848532700479,0.49056950417756573
Random Forest Regressor,"[4.37722242 4.37498808 4.2820834  4.28737749 5.70413579 5.77036877
 5.18841507 5.22764148 4.15329676 4.15112567 6.48768694 6.501811
 6.1302943  6.09023838 5.57492482 5.74909315 6.26418322 6.15235881
 5.98726771 6.83105448 6.63067863 6.48451786 5.6770509  5.71206012
 5.31599876 5.24745086 6.70172096 6.28821966 6.19909193 6.21983256
 5.83756348 7.81656442 7.60866924 7.01626906 4.95450583 5.51617524
 5.14301465 6.48506487 7.72253756 6.14772387 4.34883189 4.43824543
 5.71580143 7.07262821 7.07262821 5.80792641 6.23289414 6.39955302
 6.30046939 6.20802417 5.38100319 5.35894735 6.61633629 5.38724791
 5.22740259 5.18219458 6.53343577 6.59791355 6.58906601 5.69073377
 5.72848662 5.48058566 5.46351348 6.61004642 5.82665273 5.81755158
 5.82293564 6.50204276 6.50495089 5.82031138 5.96368657 4.56038009
 4.44849089 5.33855089 5.36797431 5.49234065 5.49234065 5.29245557
 5.32497214 6.18776377 7.15181665 5.19412797 5.86549285 5.95693231
 4.42543257 4.60314691 4.93963166 5.8638305  5.82923013 6.35402864
 6.33647255 6.37137279 6.17865771 6.13731125 5.86086895 6.1832116
 5.9266026  5.87810803 5.19730973 5.23805482 5.63385288 5.6720149
 5.21382065 5.20725655 5.78422493 4.86670612 4.48900217 5.79602954
 5.78584624 5.39945882 5.37123672 6.01708441 6.01303186 5.55371715
 5.55371715 4.3445837  4.36481612 6.65863689 5.07296203 4.98691568
 6.18401888 6.24966494 5.88242319 6.75650864 5.79546718 6.95397871
 7.70433068 7.72494735 5.62208421 5.73901707 6.203803   6.29770298
 5.83171982 5.72437661 6.75571413]",,0.3112291372488661,5.437888592754644,0.29616089537138673,0.18457485181985503,0.7904829951505483
Support Vector Regressor,"[4.51961083 4.51976547 4.28074122 4.27999118 5.84231562 6.11726502
 5.44411298 5.44665105 4.09971151 4.1003858  6.22315237 6.49572848
 6.12132005 6.13957508 5.60690699 5.66867931 6.08009775 6.14229384
 6.05813604 6.25692291 7.29704177 7.25226318 4.9738795  4.96814672
 6.10064765 5.87800625 6.15360102 5.90785193 6.09837813 6.16467157
 5.83376599 7.36853444 7.49220085 6.89791501 5.19725311 5.6397209
 5.5683813  6.24592439 7.54038694 6.16979813 4.39075675 4.7211761
 5.91263605 7.05539217 7.05539217 5.67458392 5.95971868 5.95365768
 5.99184651 6.05006531 5.45815604 5.41694496 6.58423425 5.58831274
 5.20679749 5.20700865 5.86603063 5.87847141 5.89943841 5.76711786
 5.81634393 5.63623032 5.63612156 6.82577501 5.83475764 5.74550454
 5.78430503 6.27374478 6.27437339 5.27866081 5.49258083 4.79218951
 4.72747083 5.70163448 5.6562839  5.62623479 5.62623479 5.46088933
 5.53427563 6.13897751 7.04320376 4.83204763 5.85532534 5.88365844
 4.09999391 4.10037846 5.53680758 5.7258642  5.68353852 5.94061453
 5.96093635 5.92756013 5.97107791 6.00194523 5.86626484 6.01702309
 5.7826244  5.82247799 5.72749225 5.70777153 5.69693627 5.69661361
 5.30798953 5.30833568 5.93089986 4.77373219 4.56709991 5.70945103
 5.70957    5.14229982 5.11423412 5.85071192 5.8505706  5.74213189
 5.74213189 4.51977287 4.51986112 6.85212178 5.19314494 5.19327296
 6.14264414 6.17682084 5.82393033 6.5973204  6.14608365 6.7459257
 7.31503098 7.59888504 5.20524469 5.2679937  6.19570149 6.25314506
 5.69377638 5.6212017  7.15322374]",,0.42622561912053014,7.403288457141101,0.3111043793288052,0.27845421323224034,0.6839174342067453
Kernel Ridge Regressor,"[4.02221325 4.01871944 3.94247474 3.94269756 5.76452412 5.96913712
 4.67738085 4.69422303 3.26836631 3.26471923 5.94332589 5.80398071
 5.81307447 5.79144124 5.35130069 5.50026709 5.48279199 5.49561114
 6.97255684 6.00315285 6.99430423 7.37001629 4.91441075 4.91659213
 6.02380884 5.96434312 6.15890121 6.3296561  5.71194642 6.48408869
 4.85080328 6.91235769 6.95876497 6.76223073 4.36402854 6.97635914
 4.56958634 5.92304557 7.35611992 6.15737193 3.71887573 3.84791833
 4.370644   6.00775084 6.00775084 4.81143023 5.54829908 5.53407983
 5.63420766 5.68331397 5.28876317 5.33653926 5.18075811 4.67910776
 5.23057543 5.17869137 5.68278108 5.66869929 5.67939275 5.45258261
 5.53080357 5.52678095 5.53251618 5.44388106 5.57801376 5.58156705
 5.52799374 5.81184781 5.8374895  6.4940147  5.68874531 3.46601489
 3.50922144 5.44931134 5.40530379 4.81619718 4.81619718 6.21573956
 6.30946254 5.64049714 6.8062304  5.21316579 5.26090629 5.90997761
 3.62740954 3.60537576 0.04105593 5.8876263  5.87811473 5.74833207
 5.80908708 5.73601698 6.57483383 6.68885991 6.00120547 5.21068512
 5.75220517 5.83624214 5.57005093 5.58346317 4.96309859 4.94821636
 5.17439864 5.23748031 5.07856432 3.94210366 3.86723055 5.18572345
 5.18696153 4.86131958 4.86040465 5.3509003  5.33156457 2.10860932
 2.10860932 4.02124785 4.0230179  5.29627273 3.50334655 3.47893747
 5.76905898 5.52198612 4.34723566 6.4066687  6.61991477 6.25552065
 7.12709019 7.37311157 5.46364272 1.46463683 6.47851341 6.54056189
 5.54298988 5.48719532 6.92556568]",,0.7110305443694348,12.198069555271816,0.7529566291515931,1.0725081204096247,-0.21743935779645218
K-NN Regressor,"[4.35488297 4.35488297 4.26571026 4.26571026 6.1355617  6.24998105
 5.25843389 5.25843389 4.73910189 4.73910189 6.41557414 6.51850302
 6.0941043  6.0941043  5.71826449 5.7660409  6.317419   6.27567604
 5.8759424  6.41107189 7.8887395  7.78416375 5.2256599  5.2256599
 6.06650246 5.90802412 6.40727832 5.83898142 6.45244062 5.9975506
 5.90828806 7.637685   7.53310925 7.2762231  5.65767229 6.0518735
 5.78690605 6.42023996 7.92395775 6.33446444 4.83338842 4.98854011
 6.07930684 6.49789422 6.49789422 5.83775027 5.93847405 5.93847405
 6.07615094 6.04562891 5.53753413 5.53753413 6.01091692 5.86649406
 5.02705024 5.28996412 6.11986302 6.1815167  6.1815167  6.1815167
 6.1815167  5.42280273 5.48445641 6.09065989 5.84591982 5.83064215
 5.84591982 6.38459375 6.45244062 5.63045389 5.42975812 5.3638104
 5.3638104  5.70623796 5.70623796 5.58570352 5.58570352 5.75371587
 5.75371587 6.24478342 7.57992589 5.40507924 5.67229161 5.89545647
 4.73910189 4.73910189 5.28701947 5.83349023 5.83064215 5.90802412
 5.90802412 5.76860451 6.04543656 6.13104291 6.02584552 6.0410491
 6.11986302 6.11986302 5.74730959 5.58795092 5.79766588 5.79766588
 5.40447261 5.40447261 5.95354901 4.97691887 5.003761   5.73024895
 5.74267853 5.15714751 5.15714751 6.09150272 6.09150272 5.43977588
 5.43977588 4.3535768  4.3535768  6.25010775 5.36930608 5.3136682
 6.23715188 6.33446444 5.92591289 7.2762231  5.88816328 6.98478848
 7.637685   7.8887395  6.28403962 5.60182572 6.19551433 6.17498186
 5.51697494 5.51697494 7.09447505]",,0.4581424442622836,8.233634465822718,0.3307313695642673,0.31927773804847565,0.6375773041047159
Gaussian Process Regressor,"[4.36850035 4.36888628 4.28409793 4.27857615 5.76670727 5.77102235
 5.0750382  5.0867597  4.07950866 4.05376471 6.09402158 6.30899045
 5.93695979 5.95234441 5.593595   5.59035274 6.52801884 5.9080887
 5.88742231 6.50768116 6.82278535 7.8658619  5.93312907 5.97929086
 5.13694708 5.13523409 6.29543711 5.78766115 6.16225285 5.83879593
 5.79580261 7.86369908 7.87076523 6.52592261 4.82745646 5.56003204
 5.09420957 6.34296865 8.22354207 6.07931751 4.33551246 4.35570057
 5.77531535 7.13929986 7.13929986 5.71259455 6.4476285  6.49234125
 6.47043087 6.49608797 5.12823961 5.15366135 6.18658412 5.29087502
 5.33525235 5.32562982 6.59226164 6.62700159 6.60553656 5.6786366
 5.64037555 5.44977798 5.43641053 6.90398719 5.82508167 5.82561624
 5.82676744 6.49646107 6.49852027 5.81160993 5.53577762 4.11379925
 4.09498753 5.14747253 5.15912263 5.93855405 5.93855405 5.07423939
 5.07820588 6.44179317 7.14401779 5.54338102 5.91878769 5.94381044
 4.0737843  4.08323167 5.79548627 5.87650354 5.87558899 6.47073094
 6.45745743 6.46695391 5.99154375 6.12828325 6.48085075 5.92917604
 5.99717584 5.9695938  5.25249216 5.22538279 5.61035223 5.6162207
 5.25166131 5.26446277 5.82069268 4.89892672 4.40468729 5.79906117
 5.80110259 5.48806732 5.4857336  5.93498013 5.93689825 5.79823553
 5.79823553 4.37317303 4.36955062 6.83763032 5.13394327 5.12412272
 6.39135251 6.30109506 5.95149303 6.49285889 5.67755973 6.78090266
 7.72251339 7.70324048 5.84367001 5.85349654 6.27805751 6.27847468
 5.7161791  5.71387369 6.18306362]",,0.25005181060960735,4.320248774810623,0.31351256399205685,0.16081603577001644,0.8174524112354095
Gradient Boosting Regressor,"[4.37081517 4.37265015 4.28885477 4.28055051 5.69761036 5.76220105
 5.11629812 5.12544051 3.99130789 4.04002474 6.55182975 6.63053518
 5.87282067 5.86845735 5.63322776 5.6480738  6.4743054  6.2740625
 6.10570081 6.95502045 6.39562178 6.52408875 6.03551984 6.02727569
 5.32564234 5.22249343 6.86343482 6.40415003 6.16476311 6.37403285
 5.76853574 7.95726087 7.95431272 6.78921755 4.85586598 5.4109817
 5.15415961 6.49087995 7.73099643 5.89881648 4.31916868 4.30362316
 6.0736417  7.09852484 7.09852484 5.91140909 6.50426337 6.48626826
 6.42466206 6.44264493 5.18282457 5.18369885 6.78704297 5.31091254
 5.28201979 5.21547726 6.66929668 6.66982412 6.64820389 5.6055347
 5.71054063 5.50460723 5.47159513 6.89502054 5.83544845 5.80636341
 5.81248255 6.47533722 6.50029702 5.82299255 5.63981451 4.08949816
 4.01726105 5.30903124 5.24537676 5.36728344 5.36728344 5.19946188
 5.30601076 6.13905448 7.54246931 4.99807183 5.99285069 6.06478511
 4.08437761 4.06841439 5.01319242 5.79767612 5.83315371 6.46486137
 6.45342152 6.45151614 6.12859627 6.25643779 5.94088644 6.56018873
 5.89040684 5.90375236 5.17570942 5.2493581  5.57976582 5.60357655
 5.19858618 5.16218736 5.83688075 4.92277727 4.36707436 5.79875609
 5.80442383 5.43478062 5.41949723 6.0479488  6.0183104  5.41720815
 5.41720815 4.37430163 4.37019361 6.86593208 5.01677471 4.99879116
 6.11853487 6.0711875  5.94555225 6.50500364 5.8651876  7.01309337
 7.68952197 7.68596826 5.55877935 5.67265211 6.28421333 6.30586688
 5.72702264 5.7292694  6.33077354]",,0.25501911548460826,4.398827206634086,0.30673406801017106,0.15912053774062027,0.8193770269961413
TPOT Regressor,"[4.35488297 4.35488297 4.2870238  4.25759315 5.73048706 5.73048706
 5.05209112 5.02392054 3.99618741 4.01851368 6.40042279 6.65314722
 5.84816254 5.82390874 5.56915045 5.56106329 6.398406   5.87597001
 5.8689035  6.49475765 6.58901644 7.24086245 5.88205385 6.10237291
 5.03338901 5.17449964 6.06153625 6.14914223 6.32716412 5.99761249
 5.72706223 7.87581396 7.99999647 6.62582111 4.83187078 5.89854915
 5.12472963 6.70517972 7.42943176 6.28061454 4.31489658 4.18909572
 5.73335675 7.15490196 7.15490196 5.90670488 6.60205999 6.58630323
 6.52372503 6.52287875 5.1079054  5.33127653 6.72846203 5.27410678
 5.33638972 5.30715308 6.67187452 6.7212464  6.67499869 5.65620904
 5.61618494 5.52351904 5.54324155 6.87575009 5.82390874 5.82390874
 5.82390874 6.54635    6.50091745 5.9090199  5.71529245 4.
 3.99435997 5.12148476 5.11125904 5.39894279 5.39894279 5.00000158
 5.03653741 6.37157631 7.15206957 5.33607856 5.96571465 5.93275881
 4.         4.         4.9167441  5.88798072 5.88605665 6.52260923
 6.59697961 6.52287875 5.82501221 6.35928427 6.05208423 6.36613178
 5.93329191 5.93206692 5.27248669 5.15870572 5.59771061 5.59687997
 5.20830935 5.16304761 5.88422115 5.03708172 4.26520273 5.8096683
 5.81610157 5.52870829 5.52870829 5.95078191 5.9382069  5.52870829
 5.52870829 4.3535768  4.3738122  6.8160221  5.09312623 5.07707394
 6.27077007 6.26256776 5.75281191 6.91675663 5.734234   6.73695706
 7.77961016 7.69749832 4.82286109 5.71134828 6.28399622 6.2671316
 5.7212464  5.72226143 6.18962383]",,0.2329519563180053,3.97525799771495,0.3140081620258982,0.15286773977126858,0.8264747842992105
Ensemble Model (L1),"[4.3586548  4.36142276 4.26806813 4.27503676 5.74728385 5.77518939
 5.0874492  5.06226299 4.03034477 4.06250186 6.37165212 6.60647578
 5.88937421 5.87453699 5.5776783  5.61931906 6.43230492 5.97134091
 5.97027809 6.62373892 6.71224601 7.16469783 5.77880583 5.93421768
 5.13766878 5.23609757 6.28948652 6.11164134 6.24642493 6.06432924
 5.72586481 7.8867758  7.93318752 6.71800899 4.88294219 5.64137147
 5.17565836 6.47918979 7.56403977 6.19685972 4.32762013 4.27327171
 5.88677743 7.11067972 7.11067972 5.84598891 6.43808777 6.44043001
 6.44255001 6.4554326  5.14364989 5.25651363 6.48869075 5.37744765
 5.28697044 5.28570422 6.54931209 6.61738995 6.57810864 5.75985587
 5.69468905 5.45113356 5.51269153 6.84610402 5.82022031 5.81829734
 5.82090566 6.48199569 6.4868221  5.83580682 5.70499706 4.11445083
 4.11802675 5.2373812  5.12038036 5.49793028 5.49793028 5.15262502
 5.11123316 6.32853622 7.20746542 5.26406839 5.91056001 5.92387168
 4.04539698 4.01162759 5.02768056 5.86562522 5.83335239 6.43727329
 6.47256637 6.45190587 5.89732058 6.19524646 6.06437084 6.20495845
 5.94635969 5.93791035 5.27396704 5.20936894 5.60078393 5.58134894
 5.22516288 5.23495195 5.86986909 4.95880207 4.3378032  5.79572026
 5.80628804 5.41784839 5.46112883 5.93521679 5.94403479 5.74637891
 5.74637891 4.35967065 4.37178856 6.80276587 5.01411903 5.05787459
 6.22213981 6.27953104 5.88944328 6.72984574 5.76691076 6.8402262
 7.72092047 7.70713837 5.0951235  5.87208686 6.28332616 6.27531273
 5.74649755 5.71925286 6.32501238]","[0.39686279 0.38454665 0.39981375 0.40084553 0.39706619 0.37738684
 0.40170611 0.36976518 0.40870428 0.40147486 0.37582246 0.37051271
 0.37421876 0.39743093 0.36900759 0.40114426 0.4094655  0.37924058
 0.40201688 0.42742036 0.37551788 0.3971051  0.42620281 0.39020224
 0.37935772 0.40925709 0.41376386 0.37700285 0.39950321 0.38715737
 0.42127167 0.42221652 0.38584027 0.42331142 0.37547498 0.3846305
 0.40192394 0.38074469 0.40559136 0.37876957 0.40119878 0.37830593
 0.39329063 0.37779055 0.37779055 0.38548563 0.4027469  0.40227413
 0.37015528 0.37791108 0.37782109 0.40979237 0.41367038 0.38800153
 0.40847858 0.39699407 0.42295475 0.38684229 0.40999614 0.41126176
 0.37894329 0.40245836 0.37412968 0.37473191 0.37710616 0.3845012
 0.39682832 0.40113199 0.39699487 0.3767271  0.37028757 0.37979986
 0.37391602 0.42242071 0.37814131 0.37991807 0.37991807 0.40267411
 0.41014679 0.36980867 0.42629526 0.38027465 0.40050466 0.40533216
 0.40088698 0.3780875  0.41887181 0.37386915 0.38530689 0.37045473
 0.41056393 0.3981882  0.37090307 0.41357517 0.37798167 0.42941671
 0.42052476 0.40108015 0.42133409 0.40870973 0.40097697 0.40024556
 0.39691944 0.40914795 0.3782773  0.3702936  0.4009679  0.39694461
 0.37381204 0.37991427 0.39790593 0.40046718 0.37386626 0.39890267
 0.39890267 0.37699184 0.36898311 0.38548956 0.40294029 0.37453863
 0.40250005 0.37768661 0.40235724 0.4278484  0.4086573  0.38763463
 0.42107031 0.3691152  0.41773707 0.39586193 0.39975143 0.37370333
 0.3850269  0.36913702 0.38228564]",0.2542074281655112,4.382900802726585,0.2991506587162445,0.15411253314488652,0.8250617782654773
